title,date,duration,item_link,rz_folge,title_clean
RZ085 Erforschung der Sonne,2020-03-07T23:00:00Z,115,https://raumzeit-podcast.de/2020/03/08/rz085-erforschung-der-sonne/,85,Erforschung der Sonne
RZ084 Besuch beim Asteroiden,2020-02-06T23:00:00Z,123,https://raumzeit-podcast.de/2020/02/07/rz084-besuch-beim-asteroiden/,84,Besuch beim Asteroiden
RZ083 SpaceX,2020-01-16T23:00:00Z,164,https://raumzeit-podcast.de/2020/01/17/rz083-spacex/,83,SpaceX
RZ082 Bodenerkundung auf dem Mars,2019-12-19T23:00:00Z,127,https://raumzeit-podcast.de/2019/12/20/rz082-bodenerkundung-auf-dem-mars/,82,Bodenerkundung auf dem Mars
Raumzeit 2020,2019-12-04T23:00:00Z,8,https://raumzeit-podcast.de/2019/12/05/raumzeit-2020/,NA,Raumzeit 2020
RZ081 Hubble-Weltraumteleskop,2019-11-28T23:00:00Z,104,https://raumzeit-podcast.de/2019/11/29/rz081-hubble-weltraumteleskop/,81,Hubble-Weltraumteleskop
RZ080 Europäische Raumfahrtpolitik,2019-11-06T23:00:00Z,88,https://raumzeit-podcast.de/2019/11/07/rz080-europaeische-raumfahrtpolitik/,80,Europäische Raumfahrtpolitik
RZ079 Kosmische Chemie,2019-09-30T22:00:00Z,102,https://raumzeit-podcast.de/2019/10/01/rz079-kosmische-chemie/,79,Kosmische Chemie
RZ078 Pluto und New Horizons,2019-09-02T22:00:00Z,121,https://raumzeit-podcast.de/2019/09/03/rz078-pluto-und-new-horizons/,78,Pluto und New Horizons
RZ077 Pflanzen im Weltraum,2019-08-04T22:00:00Z,97,https://raumzeit-podcast.de/2019/08/05/rz077-pflanzen-im-weltraum/,77,Pflanzen im Weltraum
RZ076 Der Gaia-Sternkatalog,2019-07-07T22:00:00Z,164,https://raumzeit-podcast.de/2019/07/08/rz076-der-gaia-sternkatalog/,76,Der Gaia-Sternkatalog
RZ075 Geologische Zeit,2019-06-09T22:00:00Z,117,https://raumzeit-podcast.de/2019/06/10/rz075-geologische-zeit/,75,Geologische Zeit
RZ074 Schwarze Löcher,2019-05-10T22:00:00Z,111,https://raumzeit-podcast.de/2019/05/11/rz074-schwarze-loecher/,74,Schwarze Löcher
RZ073 IceCube Neutrino Observatory,2018-06-05T22:00:00Z,97,https://raumzeit-podcast.de/2018/06/06/rz073-icecube/,73,IceCube Neutrino Observatory
RZ072 Die Zukunft der Raumfahrt,2018-04-25T22:00:00Z,72,https://raumzeit-podcast.de/2018/04/26/rz072-die-zukunft-der-raumfahrt/,72,Die Zukunft der Raumfahrt
RZ071 Asteroidenabwehr,2018-03-13T23:00:00Z,78,https://raumzeit-podcast.de/2018/03/14/rz071-asteroidenabwehr/,71,Asteroidenabwehr
RZ070 Weltraumrecht,2018-02-13T23:00:00Z,62,https://raumzeit-podcast.de/2018/02/14/rz070-weltraumrecht/,70,Weltraumrecht
RZ069 Copernicus Open Data Strategy,2018-01-19T23:00:00Z,91,https://raumzeit-podcast.de/2018/01/20/rz069-copernicus-open-data-strategy/,69,Copernicus Open Data Strategy
RZ068 Bodengestützte Astronomie,2017-11-17T23:00:00Z,108,https://raumzeit-podcast.de/2017/11/18/rz068-bodengestuetzte-astronomie/,68,Bodengestützte Astronomie
RZ067 Neutronensterne,2017-10-15T22:00:00Z,119,https://raumzeit-podcast.de/2017/10/16/rz067-neutronensterne/,67,Neutronensterne
RZ066 Laserkommunikation,2017-04-15T22:00:00Z,122,https://raumzeit-podcast.de/2017/04/16/rz066-laserkommunikation/,66,Laserkommunikation
RZ065 Part Time Scientists,2016-12-16T23:00:00Z,155,https://raumzeit-podcast.de/2016/12/17/rz065-part-time-scientists/,65,Part Time Scientists
RZ064 ISS-Expedition 42,2016-10-11T22:00:00Z,74,https://raumzeit-podcast.de/2016/10/12/rz064-iss-expedition-42/,64,ISS-Expedition 42
RZ063 Galaxien und Kosmologie,2016-09-27T22:00:00Z,107,https://raumzeit-podcast.de/2016/09/28/rz063-galaxien-und-kosmologie/,63,Galaxien und Kosmologie
RZ062 Albert Einstein,2016-05-11T22:00:00Z,107,https://raumzeit-podcast.de/2016/05/12/rz062-albert-einstein/,62,Albert Einstein
RZ061 Gravitationswellenastronomie,2016-02-17T23:00:00Z,169,https://raumzeit-podcast.de/2016/02/18/rz061-gravitationswellenastronomie/,61,Gravitationswellenastronomie
RZ060 Extrasolare Planeten,2016-01-04T23:00:00Z,104,https://raumzeit-podcast.de/2016/01/05/rz060-extrasolare-planeten/,60,Extrasolare Planeten
RZ059 Kleinsatelliten,2015-11-30T23:00:00Z,98,https://raumzeit-podcast.de/2015/12/01/rz059-kleinsatelliten/,59,Kleinsatelliten
RZ058 Philae,2015-06-15T22:00:00Z,93,https://raumzeit-podcast.de/2015/06/16/rz058-philae/,58,Philae
RZ057 Gaia,2013-12-17T23:00:00Z,103,https://raumzeit-podcast.de/2013/12/18/rz057-gaia/,57,Gaia
RZ056 Forschung in der ISS,2013-09-19T22:00:00Z,111,https://raumzeit-podcast.de/2013/09/20/rz056-forschung-in-der-iss/,56,Forschung in der ISS
