created_at,text,favorite_count,retweet_count,rz_folge,item_link,title_clean,date
2020-02-10T07:47:21Z,"Der Solar Orbiter, Thema in Ausgabe Nr. 52 von Raumzeit, ist heute endlich und erfolgreich gestartet. https://t.co/KyUYS8y1wK Dem Thema Sonnenerforschung werden wir uns bei Raumzeit bald noch intensiver widmen. https://t.co/aNCSfb1dkI",23,10,NA,https://raumzeit-podcast.de/2013/03/01/rz052-solar-orbiter/,Solar Orbiter,2013-02-28T23:00:00Z
2020-02-07T10:20:36Z,Und es geht weiter bei uns mit interessanten Einblicken in die Raumfahrt: RZ084 Besuch beim Asteroiden https://t.co/SC3TKbcCnb Wir sprechen mit Tra-Mi Ho vom Institut für Raumfahrtsysteme des DLR über die Mission Hayabusa-2 und den MASCOT-Lander des DLR. https://t.co/AYbmJooqbW,41,14,84,https://raumzeit-podcast.de/2020/02/07/rz084-besuch-beim-asteroiden/,Besuch beim Asteroiden,2020-02-06T23:00:00Z
2020-01-17T11:36:54Z,Und im neuen Jahr starten wieder durch und das gleich mit einem richtigen Durchstarter-Thema. Ein Gespräch mit Mitarbeiter Nr. 4 von SpaceX über Technik und Kultur des Unternehmens: RZ083 SpaceX https://t.co/mUvQevBtGk #raumzeit #podcast https://t.co/hyblBKhZlK,185,63,83,https://raumzeit-podcast.de/2020/01/17/rz083-spacex/,SpaceX,2020-01-16T23:00:00Z
2020-01-14T09:24:33Z,15 Jahre Landung auf dem Titan. Die spannende Folge „RZ030 Cassini-Huygens“ berichtete ausführlich von der schwierigen Reise zum Saturn und der Landung von Huygens auf der Titan-Oberfläche. https://t.co/CmO4h4ATVO #raumzeit-history https://t.co/AK5AVlvj19,12,2,30,https://raumzeit-podcast.de/2011/12/16/rz030-cassini-huygens/,Cassini-Huygens,2011-12-15T23:00:00Z
2020-01-07T20:48:57Z,"Der Solar Orbiter der ESA wird nun bald starten - wenn auch zwei Jahre später als ursprünglich geplant. Raumzeit hat schon 2013 ausführlich über die Pläne berichtet, die nun zur Ausführung kommen: RZ052 Solar Orbiter  https://t.co/KyUYS8y1wK https://t.co/e3l1QPeaYP https://t.co/ReIVRgi4Mc",27,5,52,https://raumzeit-podcast.de/2013/03/01/rz052-solar-orbiter/,Solar Orbiter,2013-02-28T23:00:00Z
2019-12-20T10:04:50Z,"Der letzte Ausflug in den Weltraum auf diesem Kanal in diesem Jahr ist jetzt verfügbar: wir blicken auf die Forschung, die mit den Landern und Rovern auf dem Mars in den letzten Jahren und Jahrzehnten durchgeführt wurde: RZ082 Bodenerkundung auf dem Mars https://t.co/zJT9X1YGEl https://t.co/szKQZ4MAkc",35,22,82,https://raumzeit-podcast.de/2019/12/20/rz082-bodenerkundung-auf-dem-mars/,Bodenerkundung auf dem Mars,2019-12-19T23:00:00Z
2019-11-29T10:44:27Z,Und wieder pünktlich eine frische Ausgabe für Euch: wir schauen auf Technik und Vermächtnis des schärfsten und bekanntesten Auges im All: RZ081 Hubble-Weltraumteleskop https://t.co/G5lOQF4jOE  #raumzeit https://t.co/bLs3tK5JIo,32,14,81,https://raumzeit-podcast.de/2019/11/29/rz081-hubble-weltraumteleskop/,Hubble-Weltraumteleskop,2019-11-28T23:00:00Z
2019-11-16T20:41:29Z,"Das Alpha-Magnet-Spektrometer an der ISS wird gerade aufwändig repariert. Warum das AMS quasi das LHC des Weltalls ist, erläuterte Stephan Scheel vom RWTH inklusive eines Schnelldurchlaufs durch die Wissenschaftsgeschichte in der 38. Ausgabe von Raumzeit: https://t.co/1ATBXmN5dJ https://t.co/E4wRj2jn0f",35,9,NA,https://raumzeit-podcast.de/2012/06/01/rz038-alpha-magnet-spektrometer/,Alpha-Magnet-Spektrometer,2012-05-31T22:00:00Z
2019-11-07T14:28:14Z,Nicht ganz pünktlich zum 9. Jahrestag von Raumzeit (2.11) aber trotzdem eine neue monatliche Ausgabe für Euch: RZ080 Europäische Raumfahrtpolitik https://t.co/1rEQYd6Ziy https://t.co/k98Tdx8kda,44,12,80,https://raumzeit-podcast.de/2019/11/07/rz080-europaeische-raumfahrtpolitik/,Europäische Raumfahrtpolitik,2019-11-06T23:00:00Z
2019-10-01T12:04:06Z,Die neue Ausgabe von Raumzeit blickt auf das in den letzten Jahren immer bedeutender werdende Forschungsfeld der Astrochemie und ihre Bedeutung für die Entstehung von Sternensystemen und Leben im Universum: RZ079 Kosmische Chemie mit Kathrin Altwegg https://t.co/HJK6JYi58W https://t.co/Gtb87x9LVt,57,24,79,https://raumzeit-podcast.de/2019/10/01/rz079-kosmische-chemie/,Kosmische Chemie,2019-09-30T22:00:00Z
