feed_title,feed_link,feed_description,feed_language,feed_pub_date,feed_last_build_date,feed_generator,item_title,item_link,item_description,item_pub_date,item_guid,item_author,item_category,podcast
Forschergeist,https://forschergeist.de,Horizonte für Bildung und Forschung,de-DE,2021-12-06T03:00:00Z,2021-12-21T19:38:26Z,Podlove Podcast Publisher v3.7.0-beta5,FG089 Geometrie und Visualisierung,https://forschergeist.de/podcast/fg089-geometrie-und-visualisierung/,"Komplizierte Formeln und unverdaulicher Zahlensalat: Das ist das Bild, das viele Menschen von Mathematik haben – meist geprägt durch frustrierende Erfahrungen in der Schule. Doch unsere Zivilisation würde ohne eine formale Beschreibung von Phänomenen noch in der Steinzeit stecken.Mathematische Strukturen visuell erfahrbar zu machen, ist das große Thema von Jürgen Richter-Gebert, Inhaber des Lehrstuhls für Geometrie und Visualisierung an der Technischen Universität München. Es geht hier nicht um Daten, die als Tortengrafiken serviert werden, sondern um tiefere Zusammenhänge, die sich in Bilder, Animationen oder sogar in eine virtuelle Lernumgebung übersetzen lassen. Zum Beispiel: Wie bewegt sich ein Fischschwarm? Visualisierung hilft, die Regeln, die das Verhalten steuern, im wahrsten Sinne des Wortes zu durchblicken  Solch ein Anschauungsmodell selbst zu entwerfen, hilft Studierenden dabei, ein fundamentales Verständnis komplexer Mechanismen zu gewinnen. Dieser Transfer von der abstrakten Formel in ein Modell oder in eine Simulation ist ein gewaltiger Lernschritt, den Richter-Gebert in seiner Lehrtätigkeit in den Mittelpunkt rückt. Visualisierungen sind außerdem ein fantastisches Werkzeug, um durch Ausstellungen oder mit Apps der breiten Öffentlichkeit die Augen für Mathematik zu öffnen.Jürgen Richter-Gebert wurde 2021 vom Stifterverband und der Deutschen Forschungsgemeinschaft mit dem Communicator-Preis für herausragende Wissenschaftskommunikation ausgezeichnet.",2021-12-06T03:00:00Z,podlove-2021-11-21t19:49:01+00:00-979dad8e7db4e27,Metaebene Personal Media - Tim Pritlove,NA,forschergeist
Forschergeist,https://forschergeist.de,Horizonte für Bildung und Forschung,de-DE,2021-12-06T03:00:00Z,2021-12-21T19:38:26Z,Podlove Podcast Publisher v3.7.0-beta5,FG088 Reifen aus Löwenzahn,https://forschergeist.de/podcast/fg088-reifen-aus-loewenzahn/,"Ohne Kautschuk keine Mobilität, denn kein Fahrzeug kommt ohne Reifen aus Gummi aus. Quelle für den Rohstoff ist meist der Kautschukbaum, der in den Tropen wächst. Doch die Nachfrage steigt und wirft die Frage nach Alternativen auf. Und es gibt tatsächlich eine umweltgerechte Lösung: Auch der Löwenzahn bildet in seinen Wurzeln eine gummihaltige Milch. Allerdings nicht die Pusteblume, die hierzulande im Garten gedeiht, sondern der Russische Löwenzahn – der, nebenbei bemerkt, eigentlich aus Kasachstan stammt. Ihn für die industrielle Produktion nutzbar zu machen, ist nun einem Forschungsteam von der Universität Münster, dem dortigen Fraunhofer Institut für Molekularbiologie und Angewandte Ökologie IME und des Reifenherstellers Continental gelungen.Dirk Prüfer, Professor für Pflanzliche Biotechnologie, hat diese Entwicklung federführend vorangetrieben. Es ist nämlich nicht einfach damit getan, die Wildpflanze anzubauen, sondern sie musste erst einmal gezielt weitergezüchtet werden. Der Anteil des Gummi an der der Trockenwurzelmasse ließ sich so von zwei bis drei auf 15 bis 20 Prozent steigern und damit für die industrielle Verarbeitung rentabel machen. Mit dem Kautschuk aus Russischem Löwenzahn lassen sich auf ökologisch verträgliche Weise Produkte herstellen, die denen mit Gummi aus herkömmlicher Fertigung mindestens ebenbürtig sind.Das Forschungsprojekt mit seiner innovativen Verbindung aus Biologie, Technik und Landwirtschaft wurde für den Deutschen Zukunftspreis 2021 nominiert.",2021-11-14T14:00:00Z,podlove-2021-10-24t11:38:52+00:00-27a1db71788e8c4,Metaebene Personal Media - Tim Pritlove,NA,forschergeist
Forschergeist,https://forschergeist.de,Horizonte für Bildung und Forschung,de-DE,2021-12-06T03:00:00Z,2021-12-21T19:38:26Z,Podlove Podcast Publisher v3.7.0-beta5,FG087 Computertomographie,https://forschergeist.de/podcast/fg087-computertomographie/,"Fast 50 Jahre ist es her, dass die Computertomographie in die medizinische Diagnostik Einzug hielt. Mit ihr wurde es möglich, viel genauer als mit dem klassischen Röntgen in den menschlichen Körper zu schauen. Man konnte damit nicht nur Knochen untersuchen, sondern bekam nun auch viel aussagekräftigere Bilder auch von Organen und Gefäßen. Millionen Patientinnen und Patienten wurden seitdem „in die Röhre geschoben“. Das Verfahren wurde immer weiter verfeinert, doch irgendwann stieß man an technische Grenzen. Die von Siemens Healthineers in Forchheim entwickelte Quantenzählende Computertomographie bedeutet jetzt einen neuen Schub für die CT-Technologie und wurde daher für den Deutschen Zukunftspreis 2021 nominiert.Thomas Flohr hat sich praktisch sein ganzes Berufsleben als Physiker mit der Computertomographie befasst und leitet das Forschungsteam, das diese Innovation hervorgebracht hat. In dieser Forschergeist-Folge erklärt er Schritt für Schritt, worin das Revolutionäre dieser Entwicklung liegt. Das neuartige Detektorprinzip schafft nicht nur eine deutlich bessere räumliche Auflösung, sondern erreicht im Bildgebungsverfahren auch eine neue Qualität, die viel präzisere Diagnosen ermöglicht. Vergleicht man das bisherige CT-Verfahren mit einem Schwarzweißbild, erhielte man nun durch die Quantenzählende Computertomographie quasi Aufnahmen in Farbe. Als Tüpfelchen auf dem i wurde auch noch die Strahlendosis erheblich reduziert. Die neue Technik ist keineswegs nur im Labor erprobt, sondern in ersten Kliniken schon im Einsatz und soll ab 2022 generell verfügbar sein. Der Deutsche Zukunftspreis wird am 17. November 2021 durch Bundespräsident Frank-Walter Steinmeier in Berlin offiziell verliehen. Das Team vom Siemens Healthineers ist eines von drei in diesem Jahr nominierten.",2021-10-31T08:04:41Z,podlove-2021-10-23t23:03:33+00:00-c5ead4dbad8db8d,Metaebene Personal Media - Tim Pritlove,NA,forschergeist
Forschergeist,https://forschergeist.de,Horizonte für Bildung und Forschung,de-DE,2021-12-06T03:00:00Z,2021-12-21T19:38:26Z,Podlove Podcast Publisher v3.7.0-beta5,FG086 Klugscheißen im Fernsehen,https://forschergeist.de/podcast/fg086-klugscheissen-im-fernsehen/,"Er ist eines der populärsten Gesichter der Wissensvermittlung im deutschen Fernsehen: Ralph Caspers kennen Millionen aus der Sendung mit der Maus, „Wissen macht Ah!“ und „Quarks“ – also Bildungsfernsehen im besten Sinne. Doch diese Programme sind keineswegs nur für Nerds, die es cool finden, Neues zu lernen. Ihr Erfolgsrezept liegt darin, die Wissensinhalte unterhaltsam zu verpacken.Fernsehen heißt: Geschichten erzählen, und das durchaus mal mit Mut zur Lücke. Denn es hilft nicht, sich in Details zu verlieren, bevor das große Bild noch nicht vor dem geistigen Auge entstanden ist. Warum nicht mal mit Humor arbeiten oder mit Herzblut sein Publikum mitreißen? Von solchen Regeln, die für TV-Formate gelten, könnte sehr wohl auch der klassische Bildungsbereich profitieren. Für Caspers (Jahrgang 1972) hat weniger der Unterricht den Spaß entfacht, Neues zu entdecken, sondern das Yps-Heft. Er meint: Die Form von Wissensvermittlung, wie sie an Schulen und auch Hochschulen bis heute praktiziert wird, hat sich im Grunde überlebt. Viel zu viele junge Menschen wurden davon überzeugt, dass lernen vor allem eines sei: langweilig. Aber das muss nicht sein. Geschichten erzählen zu können, ist sehr viel Handwerk, also etwas, das man lernen kann.Während der Corona-Pandemie hat die Öffentlichkeit mehr denn je wahrgenommen, welch existenzielle Rolle Forschungsergebnisse in unserem Leben einnehmen. Das hat auch Skepsis auf den Plan gerufen, berechtigterweise. Denn Wissenschaft ist nicht der Weisheit letzter Schluss, sondern ein Schritt auf dem Weg dahin. Nicht mehr, aber auch nicht weniger. Was heißt das nun für die Arbeit der Medien? Caspers plädiert dafür, eigentlich immer den wissenschaftlichen Konsens abzubilden und dabei Unsicherheiten transparent zu machen. Und er hofft, dass die Anerkennung für die Funktion von Wissenschaftsredaktionen als Schnittstelle zwischen Forschenden und Publikum auch anhalten wird, wenn die Pandemie einmal vorbei ist.",2021-10-13T07:00:00Z,podlove-2021-10-06t14:02:57+00:00-f966d2b7efef4a1,Metaebene Personal Media - Tim Pritlove,NA,forschergeist
Forschergeist,https://forschergeist.de,Horizonte für Bildung und Forschung,de-DE,2021-12-06T03:00:00Z,2021-12-21T19:38:26Z,Podlove Podcast Publisher v3.7.0-beta5,FG085 Coronavirus Structural Task Force,https://forschergeist.de/podcast/fg085-coronavirus-structural-task-force/,"Noch nie etwas von Strukturbiologie gehört? Dieses Spezialgebiet befasst sich damit,den Aufbau von Molekülen zu entschlüsseln, beispielsweise durch die Messung des von ihnen reflektierten Röntgenlichts. Doch weil die Forschungsobjekte so unfassbar klein sind, bedarf es ausgefeilter Messmethoden und Software, um am Computer dreidimensionale Modelle von Molekülen zu bauen – so auch von jenen 28 Proteinen, die man landläufig als das Coronavirus bezeichnet.Andrea Thorn, die am Institut für Nanostruktur- und Festkörperphysik an der Universität Hamburg arbeitet, hatte früh erkannt, was ihr Fachgebiet sozusagen hinter den Kulissen zur Bekämpfung der Pandemie beitragen kann. Denn wenn man weiß, wie die Proteine aufgebaut sind, die eine menschliche Zelle in eine Virusfabrik umfunktionieren, gibt es einen Ansatzpunkt für Abwehrmaßnahmen. Hat man etwa ein Bild von der „Kopiermaschine“, mit der das Virus sein eigenes Erbgut tausendfach vervielfältigt, gewinnt man einen Hebel, um diesen Mechanismus zu sabotieren.Die Coronavirus Structural Task Force, die Thorn leitet, hat seit März 2020 nicht nur Basisarbeit für die Entwicklung von Impfstoffen geleistet. Die Truppe selbst ist ein für den Wissenschaftsbetrieb total untypischer, lockerer Zusammenschluss von jetzt weltweit 27 Forscherinnen und Forschern meist aus dem wissenschaftlichen Nachwuchs. Sie alle haben sich kurzentschlossen selbst organisiert, weil es ihnen einfach wichtig war, ihr Wissen zu teilen und die Beschaffenheit des SARS-CoV-2-Virus zu verstehen. Die Erkenntnisse der Task Force wurden für alle frei im Internet veröffentlicht – um anderen Wissenschaftlern zu helfen, die Pandemie zu stoppen. Als Methodenentwickler stehen sie kaum im Rampenlicht, doch viele Forschungserfolge, die später mit Medizin-Nobelpreisen belohnt wurden, wären ohne die Strukturbiologie undenkbar gewesen.Das Gespräch wurde Ende März 2021 aufgezeichnet.",2021-04-06T09:51:42Z,podlove-2021-04-04t21:24:07+00:00-cff555a78327c13,Metaebene Personal Media - Tim Pritlove,NA,forschergeist
Forschergeist,https://forschergeist.de,Horizonte für Bildung und Forschung,de-DE,2021-12-06T03:00:00Z,2021-12-21T19:38:26Z,Podlove Podcast Publisher v3.7.0-beta5,FG084 Evidenzbasierte Medizin,https://forschergeist.de/podcast/fg084-evidenzbasierte-medizin/,"Woher weiß man eigentlich, welche Therapie wirkt? Dafür gibt es klinische Studien, in denen zum Beispiel ein neues Medikament geprüft wird, ob es hilft und was für Nebenwirkungen auftreten. Doch ganz so simpel ist die Anlage einer solche Untersuchung eben nicht. Es gibt viele Fallstricke, die die Ergebnisse unbrauchbar machen – zum Beispiel wenn die Gruppe, die das Medikament bekommt, und die Kontrollgruppe, die nur ein Placebo erhält, unterschiedlich zusammengesetzt sind. Ohne sauberes wissenschaftliches Arbeiten gewinnt man zwar Daten, aber keine gesicherte Erkenntnis.Fehler und Verzerrungen in wissenschaftlichen Studienergebnissen systematisch auszuschalten, ist der Kern des evidenzbasierten Ansatzes in der medizinischen Forschung. Gerd Antes (71) gilt als ihr Wegbereiter in Deutschland. Der Mathematiker und langjährige Direktor des Deutschen Cochrane Zentrums am Universitätsklinikum Freiburg hat sich während seines Berufslebens dafür stark gemacht, den empirischen Nachweis von Wirksamkeit in der Forschung ins Zentrum zu stellen und auch Ärzte in der Ausbildung das Know-how beizubringen, Studien kritisch zu lesen. Hier hat es tatsächlich gewaltige Fortschritte gegeben, aber: Qualität ist kein Selbstläufer, und gerade in Pandemie-Zeiten scheint in der Forschung Geschwindigkeit oft vor Gründlichkeit zu gehen. Und wenn man etwa die Wirkung einer Intervention zur Eindämmung des Infektionsgeschehens messen will, der Effekt sich aber in einem Knäuel von Maßnahmen nicht sauber herausfiltern lässt, wird die Untersuchung nicht viel taugen.Auch Big Data und maschinelles Lernen sind da leider nicht die Lösung, denn was ein plausibler Zusammenhang zwischen zwei Faktoren ist, weiß eine künstliche Intelligenz eben nicht von sich aus, mangels eigener Lebenserfahrung. Nicht jede statistische Korrelation begründet eine Kausalität. Neben der verlässlichen Erhebung von Daten geht es bei evidenzbasierter Forschung eben auch um den Sinn.Das Gespräch wurde am 28. Oktober 2020 aufgezeichnet.",2020-12-11T09:00:00Z,podlove-2020-12-10t14:58:36+00:00-d1c7c2584a1424e,Metaebene Personal Media - Tim Pritlove,NA,forschergeist
Forschergeist,https://forschergeist.de,Horizonte für Bildung und Forschung,de-DE,2021-12-06T03:00:00Z,2021-12-21T19:38:26Z,Podlove Podcast Publisher v3.7.0-beta5,FG083 Bioengineering,https://forschergeist.de/podcast/fg083-bioengineering/,"Das Leben versuchen zu verstehen und diese Erkenntnisse anzuwenden, damit sie dem Menschen weiterhelfen - das ist im Kern, worum es bei Biotechnologie geht. Im medizinischen Bereich heißt das: die molekularen Grundlagen von Krankheiten erforschen und neue Ansätze für Therapien suchen. Während der Corona-Pandemie ist dieses Forschungsfeld schlagartig wieder ins öffentliche Interesse gerückt, denn es geht hier insbesondere um die Entwicklung eines Impfstoffs, der die Ausbreitung der Infektion aufhalten soll.Joachim Fensterle kennt die verschiedenen Welten, in denen sich die biotechnologische Forschung abspielt. Er hat am Max-Planck-Institut für Infektionsbiologie in Berlin und an der Universität Würzburg gearbeitet, um dann einige Jahre in die pharmazeutische Industrie zu wechseln, in der Innovationen aufgrund der klinschen Studien einen ganz langen Atem erfordern. Klar, dass er mit besonderem Interesse die Entwicklung von Impfstoffen gegen den SARS-CoV-2-Virus beobachtet. Der zurzeit wohl aussichtsreichste Kandidat bedient sich eines innovativen mRNA-Verfahrens, bei dem ein Bauplan zur Produktion von Antikörpern in die Zellen eingeschleust wird. Entscheidend wird die Effizienz sein, also ob es gelingt, auf diese Weise die Herstellung von ausreichend Antikörpern anzuregen. Und wie viele man braucht, das weiß man noch nicht.Fensterle ist inzwischen Professor für Biotechnologie und Bioengineering an die Hochschule Rhein-Waal in Kleve. Dort eröffnete sich ihm ein ganz neues Forschungsfeld, die Hochschullehre selbst. In einem vom Stifterverband geförderten Projekt hat er die Nutzung von Smart Glasses für Laborpraktika erkundet. Während der Corona-Pandemie musste die Online-Lehre von heute auf morgen den Hörsaal ersetzen. Joachim Fensterle hat dabei die Erfahrung gemacht: Eine Vorlesung als Videostream lebt vom Live-Erlebnis.",2020-11-17T11:28:27Z,podlove-2020-11-17t10:05:31+00:00-ecd7c83607fc54c,Metaebene Personal Media - Tim Pritlove,NA,forschergeist
Forschergeist,https://forschergeist.de,Horizonte für Bildung und Forschung,de-DE,2021-12-06T03:00:00Z,2021-12-21T19:38:26Z,Podlove Podcast Publisher v3.7.0-beta5,FG082 Kriminalbiologie,https://forschergeist.de/podcast/fg082-kriminalbiologie/,"Bei einem Mordfall kann jede Spur wichtig sein, mag sie auch auf den ersten Blick noch so abseitig erscheinen. Zum Beispiel was für Schmeißfliegen eine verweste Leiche besiedelt haben. Passen die Insekten eigentlich zum Fundort oder fand das Verbrechen ganz woanders statt? Solche Fragen sind nicht etwa der übersteigerten Phantasie von Drehbuchscheibern amerikanischer Krimiserien entsprungen, sondern ganz real. Und Mark Benecke hilft, sie zu beantworten.Als öffentlich bestellter und vereidigter Sachverständiger wird Benecke (geb. 1970) zu Rate gezogen, wenn es darum geht, die klassische Rechtsmedizin durch sein sehr spezielles Wissen zu ergänzen. Insekten und Mikroorganismen können nämlich einiges über die Umstände eines Tötungsdelikts verraten. So konnte Benecke etwa für ein aufsehenerregendes Gerichtsverfahren anhand von Fliegenmaden den Todeszeitpunkt zu bestimmen und dadurch das Alibi des Täters zu Fall zu bringen.Wissenschaft bildet für den Spurenkundler das Fundament für seine Erkenntnisse. Und Benecke ist selbst ein Forschender im Sinne der Wahrheitsfindung. Nur eben nicht an einem Institut oder einer Hochschule, sondern sozusagen mit seinem freien Detektivbüro. Deutschlands wohl bekanntester Kriminalbiologe ist nebenbei auch noch Musiker, Politiker und Vortragsreisender, um seine Fälle einem breiten Publikum anschaulich zu vermitteln - das dann beispielsweise erfährt, warum es unklug sein kann, eine Leiche in einen Teppich einzuwickeln.",2020-10-13T07:00:25Z,podlove-2020-10-03t22:18:39+00:00-c7f8d4db9a5468f,Metaebene Personal Media - Tim Pritlove,NA,forschergeist
Forschergeist,https://forschergeist.de,Horizonte für Bildung und Forschung,de-DE,2021-12-06T03:00:00Z,2021-12-21T19:38:26Z,Podlove Podcast Publisher v3.7.0-beta5,FG081 Wissenschaftskommunikation in Krisen,https://forschergeist.de/podcast/fg081-wissenschaftskommunikation-in-krisen/,"Als die Corona-Pandemie ihren Lauf nahm, schlug die Stunde der Wissenschaftskommunikation. Virologen und Epidemiologen standen auf einmal im Rampenlicht der Öffentlichkeit. Und ihr Wort hatte Gewicht in der Politik. Dabei war anfangs eine Ausnahmesituation: Im Grunde stimmten alle dieselbe Erzählung an, dass man die Infektionswelle brechen müsse, bevor sie unbeherrschbar in die Höhe schießt. In dieser Phase wuchs auch das Vertrauen der Bevölkerung in die Wissenschaft. Bis sich dann die kritischen Stimmen mehrten und der kurze Burgfrieden schon wieder vorbei war.Stefanie Molthagen-Schnöring, Professorin für Wirtschaftskommunikation an der Hochschule für Technik und Wirtschaft Berlin, hat diese Entwicklung aus der Forscherinnenperspektive beobachtet. Im Gespräch berichtet sie über ihre Wahrnehmung der Krisenkommunikation und auch grundsätzlich darüber, wie Wissenschaftlerinnen und Wissenschaftler heutzutage in der Öffentlichkeit sichtbar werden. Dabei sind die klassischen Publikumsmedien mit ihrer eigenen Logik nicht immer die erste Wahl, neigen sie doch gerne dazu, Sachthemen als persönliche Geschichten zu erzählen. Auch die Corona-Krise hat „Stars“ wider Willen hervorgebracht und einen wissenschaftlichen Disput als Hahnenkampf unter Forschern skandalisiert.Aber nun gibt es inzwischen ja auch viele Möglichkeiten, Medien selbst zu gestalten. Spätestens mit der Pandemie ist das Wissen, was ein Podcast ist, nun wirklich in der Allgemeinheit angekommen. Stefanie Molthagen-Schnöring ermuntert andere Forscherinnen und Forscher darin, ihre Vermittlungsformate selbst zu wählen. Oder auch mal zu verzichten, wenn man zum Beispiel mit Social Media fremdelt oder den Kopf nicht ständig in die Kamera halten mag. Entscheidend sei es, authentisch zu bleiben und wahrhaftig, wie eben die Wissenschaft selbst auch.",2020-06-05T12:47:08Z,podlove-2020-05-21t19:06:41+00:00-ea668c566677d22,Metaebene Personal Media - Tim Pritlove,NA,forschergeist
Forschergeist,https://forschergeist.de,Horizonte für Bildung und Forschung,de-DE,2021-12-06T03:00:00Z,2021-12-21T19:38:26Z,Podlove Podcast Publisher v3.7.0-beta5,FG080 Medien und Meinungsbildung,https://forschergeist.de/podcast/fg080-medien-und-meinungsbildung/,"Doch, doch, es gab ein Internet vor Facebook, Twitter und YouTube. In den 2000er Jahren blühte die Blogosphäre auf. Statt nur passiv zu konsumieren begannen Webnutzer mit eigenen Inhalten eine Öffentlichkeit zu finden – argwöhnisch beobachtet von den klassischen Massenmedien, die Blogs auch mal als „Klowände des Internets“ verächtlich machten. Doch die alten, klar verteilten Rollen zwischen Journalisten und Lesern lösen sich seither immer mehr auf. Die Deutungshoheit traditioneller Medien bröckelt. Soziale Netzwerke, die seit rund zehn Jahren auch große Player im Werbemarkt sind, stellen zudem die wirtschaftliche Grundlage der Verlage in Frage.Den Wandel der digitalen Öffentlichkeit intensiv verfolgt hat Jan-Hinrik Schmidt, Senior Researcher am Leibniz-Institut für Medienforschung / Hans-Bredow-Institut in Hamburg. Die Digitalisierung bedeutet weit mehr als nur eine technische Umstellung, denn die Grundlogik der neuen, datengetriebenen Plattformen geht einher mit einer eigenen Mechanik für Identitäts-, Beziehungs- und Informationsmanagement. Nachricht und Kommentar rücken in der Wahrnehmung enger zusammen. Algorithmen belohnen Kommunikation, die zugespitzt ist, und können an der Empörungsspirale drehen. Unterdessen hat es vernunftgeleitete Argumentation schon ein bisschen schwerer, sich Gehör zu verschaffen, weil sie naturgemäß nicht zur Erhöhung des Erregungslevels beitragen kann. Und dieser Trend kann Folgen für das Miteinander in einer Demokratie haben.Für den Soziologen Jan-Hinrik Schmidt steht fest: Die Regulierung der Plattformen wird eine medienpolitische Schlüsselfrage in den 2020er-Jahren sein – findet doch immer mehr Kommunikation in einer dezentralen Netzwerköffentlichkeit statt. Und so steht im Zentrum von Schmidts Forschung künftig die Frage: Können die sozialen Medien den gesellschaftlichen Zusammenhalt stärken oder bewirken sie das Gegenteil?",2020-05-25T16:37:25Z,podlove-2020-05-15t23:47:47+00:00-e0f28bda58792a3,Metaebene Personal Media - Tim Pritlove,NA,forschergeist
