x,verfugbarkeit,kantonale_vollstandigkeit,services
AG,"Frei erhältlich
             Frei erhältlich",Ja,/services/av
AI,"Frei erhältlich
             Frei erhältlich",Ja,/services/av
AR,"Freigabe erforderlich
             Freigabe erforderlich",Ja,/services/av
BE,"Frei erhältlich
             Frei erhältlich",Ja,/services/av
BL,"Registrierung erforderlich
             Frei erhältlich",Ja,/services/av
BS,"Frei erhältlich
             Frei erhältlich",Ja,/services/av
FR,"Frei erhältlich
             Frei erhältlich",Nein,/services/av
GE,"Im Aufbau
             Im Aufbau",Nein,/services/av
GL,"Frei erhältlich
             Frei erhältlich",Ja,/services/av
GR,"Frei erhältlich
             Frei erhältlich",Nein,/services/av
JU,"Freigabe erforderlich
             Freigabe erforderlich",Ja,/services/av
LU,"Freigabe erforderlich
             Freigabe erforderlich",Ja,/services/av
NE,"Registrierung erforderlich
             Freigabe erforderlich",Nein,/services/av
NW,"Frei erhältlich
             Freigabe erforderlich",Ja,/services/av
OW,"Frei erhältlich
             Freigabe erforderlich",Ja,/services/av
SG,"Frei erhältlich
             Frei erhältlich",Nein,/services/av
SH,"Frei erhältlich
             Frei erhältlich",Ja,/services/av
SO,"Frei erhältlich
             Frei erhältlich",Ja,/services/av
SZ,"Frei erhältlich
             Frei erhältlich",Nein,/services/av
TG,"Frei erhältlich
             Freigabe erforderlich",Ja,/services/av
TI,"Im Aufbau
             Im Aufbau",Nein,/services/av
UR,"Frei erhältlich
             Frei erhältlich",Ja,/services/av
VD,"Frei erhältlich
             Freigabe erforderlich",Nein,/services/av
VS,"Frei erhältlich
             Frei erhältlich",Ja,/services/av
ZG,"Frei erhältlich
             Frei erhältlich",Ja,/services/av
ZH,"Frei erhältlich
             Frei erhältlich",Ja,/services/av
LI,"Freigabe erforderlich
             Im Aufbau",Ja,/services/av
AG,"Im Aufbau (erhältlich ab 01.01.2022)
             Im Aufbau (erhältlich ab 01.01.2022)",Nein,/services/fruchtfolgeflaechen
AI,"Im Aufbau (erhältlich ab 01.10.2021)
             Im Aufbau (erhältlich ab 01.10.2021)",Nein,/services/fruchtfolgeflaechen
AR,"Im Aufbau (erhältlich ab 01.01.2023)
             Im Aufbau (erhältlich ab 01.01.2023)",Nein,/services/fruchtfolgeflaechen
BE,"Frei erhältlich
             Frei erhältlich",Ja,/services/fruchtfolgeflaechen
BL,"Frei erhältlich
             Frei erhältlich",Ja,/services/fruchtfolgeflaechen
BS,"Frei erhältlich
             Frei erhältlich",Ja,/services/fruchtfolgeflaechen
FR,"Frei erhältlich
             Frei erhältlich",Ja,/services/fruchtfolgeflaechen
GE,"Im Aufbau (erhältlich ab 01.01.2022)
             Im Aufbau (erhältlich ab 01.01.2022)",Nein,/services/fruchtfolgeflaechen
GL,"Frei erhältlich
             Frei erhältlich",Ja,/services/fruchtfolgeflaechen
GR,"Im Aufbau (erhältlich ab 01.01.2023)
             Im Aufbau (erhältlich ab 01.01.2023)",Nein,/services/fruchtfolgeflaechen
JU,"Freigabe erforderlich
             Freigabe erforderlich",Ja,/services/fruchtfolgeflaechen
LU,"Frei erhältlich
             Freigabe erforderlich",Ja,/services/fruchtfolgeflaechen
NE,"Frei erhältlich
             Registrierung erforderlich",Ja,/services/fruchtfolgeflaechen
NW,"Frei erhältlich
             Freigabe erforderlich",Ja,/services/fruchtfolgeflaechen
OW,"Frei erhältlich
             Freigabe erforderlich",Ja,/services/fruchtfolgeflaechen
SG,"Frei erhältlich
             Frei erhältlich",Ja,/services/fruchtfolgeflaechen
SH,"Frei erhältlich
             Frei erhältlich",Ja,/services/fruchtfolgeflaechen
SO,"Im Aufbau (erhältlich ab 01.07.2021)
             Im Aufbau (erhältlich ab 01.07.2021)",Nein,/services/fruchtfolgeflaechen
SZ,"Frei erhältlich
             Frei erhältlich",Ja,/services/fruchtfolgeflaechen
TG,"Frei erhältlich
             Frei erhältlich",Ja,/services/fruchtfolgeflaechen
TI,"Im Aufbau
             Im Aufbau",Nein,/services/fruchtfolgeflaechen
UR,"Frei erhältlich
             Frei erhältlich",Ja,/services/fruchtfolgeflaechen
VD,"Frei erhältlich
             Freigabe erforderlich",Ja,/services/fruchtfolgeflaechen
VS,"Frei erhältlich
             Frei erhältlich",Ja,/services/fruchtfolgeflaechen
ZG,"Frei erhältlich
             Frei erhältlich",Ja,/services/fruchtfolgeflaechen
ZH,"Frei erhältlich
             Frei erhältlich",Ja,/services/fruchtfolgeflaechen
LI,"keine Daten
             keine Daten",-,/services/fruchtfolgeflaechen
AG,"Im Aufbau
             Frei erhältlich",Ja,/services/gefahrenkarten
AI,"Im Aufbau (erhältlich ab 01.04.2021)
             Frei erhältlich",Ja,/services/gefahrenkarten
AR,"Im Aufbau (erhältlich ab 01.01.2022)
             Im Aufbau (erhältlich ab 01.01.2022)",Nein,/services/gefahrenkarten
BE,"Im Aufbau
             Frei erhältlich",Ja,/services/gefahrenkarten
BL,"Im Aufbau
             Frei erhältlich",Ja,/services/gefahrenkarten
BS,"Im Aufbau (erhältlich ab 01.10.2021)
             Im Aufbau (erhältlich ab 01.10.2021)",Nein,/services/gefahrenkarten
FR,"Im Aufbau (erhältlich ab 01.07.2020)
             Frei erhältlich",Ja,/services/gefahrenkarten
GE,"Im Aufbau
             Frei erhältlich",Ja,/services/gefahrenkarten
GL,"Im Aufbau
             Frei erhältlich",Ja,/services/gefahrenkarten
GR,"Im Aufbau (erhältlich ab 01.01.2022)
             Im Aufbau (erhältlich ab 01.01.2022)",Nein,/services/gefahrenkarten
JU,"Freigabe erforderlich
             Freigabe erforderlich",Ja,/services/gefahrenkarten
LU,"Frei erhältlich
             Freigabe erforderlich",Ja,/services/gefahrenkarten
NE,"Frei erhältlich
             Freigabe erforderlich",Ja,/services/gefahrenkarten
NW,"Im Aufbau (erhältlich ab 01.01.2022)
             Im Aufbau (erhältlich ab 01.01.2022)",Nein,/services/gefahrenkarten
OW,"Im Aufbau (erhältlich ab 01.01.2022)
             Im Aufbau (erhältlich ab 01.01.2022)",Nein,/services/gefahrenkarten
SG,"Frei erhältlich
             Frei erhältlich",Ja,/services/gefahrenkarten
SH,"Frei erhältlich
             Frei erhältlich",Ja,/services/gefahrenkarten
SO,"Im Aufbau (erhältlich ab 01.04.2019)
             Frei erhältlich",Ja,/services/gefahrenkarten
SZ,"Frei erhältlich
             Frei erhältlich",Ja,/services/gefahrenkarten
TG,"Im Aufbau
             Frei erhältlich",Ja,/services/gefahrenkarten
TI,"Im Aufbau
             Registrierung erforderlich",Ja,/services/gefahrenkarten
