Category: All categories

Month,QGIS: (Switzerland),ArcGIS: (Switzerland)
2004-01,0,0
2004-02,0,0
2004-03,25,26
2004-04,27,0
2004-05,0,0
2004-06,0,24
2004-07,0,0
2004-08,0,0
2004-09,24,26
2004-10,0,16
2004-11,0,0
2004-12,16,24
2005-01,0,0
2005-02,22,13
2005-03,0,0
2005-04,37,13
2005-05,0,11
2005-06,0,0
2005-07,0,17
2005-08,46,23
2005-09,0,0
2005-10,0,0
2005-11,0,16
2005-12,0,29
2006-01,0,21
2006-02,0,31
2006-03,10,0
2006-04,0,0
2006-05,0,0
2006-06,0,19
2006-07,0,0
2006-08,0,16
2006-09,7,12
2006-10,7,23
2006-11,0,15
2006-12,0,0
2007-01,0,17
2007-02,7,0
2007-03,0,20
2007-04,0,26
2007-05,0,9
2007-06,0,23
2007-07,0,9
2007-08,0,17
2007-09,8,9
2007-10,5,24
2007-11,0,24
2007-12,0,8
2008-01,0,22
2008-02,4,4
2008-03,0,0
2008-04,4,20
2008-05,0,14
2008-06,0,20
2008-07,4,15
2008-08,0,20
2008-09,0,16
2008-10,0,15
2008-11,0,15
2008-12,0,5
2009-01,5,4
2009-02,0,15
2009-03,0,20
2009-04,6,17
2009-05,0,15
2009-06,7,13
2009-07,0,4
2009-08,0,17
2009-09,4,17
2009-10,8,16
2009-11,5,16
2009-12,6,14
2010-01,0,9
2010-02,0,24
2010-03,4,11
2010-04,4,13
2010-05,7,8
2010-06,3,0
2010-07,0,9
2010-08,0,16
2010-09,5,19
2010-10,0,24
2010-11,6,20
2010-12,5,19
2011-01,0,11
2011-02,2,30
2011-03,5,21
2011-04,10,17
2011-05,3,15
2011-06,4,15
2011-07,7,33
2011-08,6,21
2011-09,3,20
2011-10,2,16
2011-11,3,26
2011-12,7,16
2012-01,6,16
2012-02,2,21
2012-03,2,24
2012-04,8,25
2012-05,4,31
2012-06,5,26
2012-07,8,14
2012-08,7,25
2012-09,11,21
2012-10,7,21
2012-11,8,22
2012-12,6,17
2013-01,6,26
2013-02,5,23
2013-03,3,27
2013-04,8,25
2013-05,7,15
2013-06,4,22
2013-07,9,24
2013-08,6,23
2013-09,11,26
2013-10,6,29
2013-11,15,26
2013-12,4,17
2014-01,9,24
2014-02,13,24
2014-03,12,28
2014-04,11,30
2014-05,16,28
2014-06,10,18
2014-07,15,27
2014-08,9,24
2014-09,8,25
2014-10,13,23
2014-11,10,29
2014-12,13,20
2015-01,10,26
2015-02,19,30
2015-03,16,33
2015-04,16,21
2015-05,15,21
2015-06,13,32
2015-07,13,32
2015-08,12,17
2015-09,16,23
2015-10,19,26
2015-11,20,26
2015-12,18,23
2016-01,20,25
2016-02,18,28
2016-03,18,27
2016-04,28,29
2016-05,22,17
2016-06,18,27
2016-07,19,22
2016-08,16,23
2016-09,15,24
2016-10,22,25
2016-11,25,29
2016-12,15,20
2017-01,14,24
2017-02,23,25
2017-03,26,25
2017-04,21,21
2017-05,22,20
2017-06,15,30
2017-07,12,17
2017-08,15,19
2017-09,15,15
2017-10,25,20
2017-11,26,24
2017-12,17,20
2018-01,17,19
2018-02,20,19
2018-03,24,23
2018-04,23,22
2018-05,14,21
2018-06,20,19
2018-07,19,22
2018-08,16,25
2018-09,16,23
2018-10,22,25
2018-11,27,21
2018-12,16,21
2019-01,17,20
2019-02,18,28
2019-03,19,25
2019-04,23,25
2019-05,16,32
2019-06,19,19
2019-07,16,22
2019-08,15,15
2019-09,27,18
2019-10,22,17
2019-11,25,21
2019-12,20,14
2020-01,20,20
2020-02,23,34
2020-03,22,100
2020-04,19,60
2020-05,21,31
2020-06,18,23
2020-07,20,21
2020-08,16,23
2020-09,20,29
2020-10,21,32
2020-11,17,22
2020-12,17,19
2021-01,12,22
2021-02,13,21
2021-03,23,27
2021-04,20,23
2021-05,21,16
2021-06,12,20
2021-07,15,13
2021-08,15,20
2021-09,20,20
2021-10,21,19
2021-11,24,21
2021-12,20,14
2022-01,23,26
2022-02,34,31
2022-03,32,23
2022-04,31,24
2022-05,27,26
2022-06,28,20
2022-07,23,22
2022-08,24,26
2022-09,28,16
2022-10,35,20
2022-11,24,30
