Category: All categories

Month,QGIS: (Worldwide),ArcGIS: (Worldwide)
2004-01,1,25
2004-02,0,24
2004-03,1,23
2004-04,0,29
2004-05,0,23
2004-06,1,29
2004-07,0,27
2004-08,1,25
2004-09,<1,30
2004-10,1,31
2004-11,1,27
2004-12,2,29
2005-01,1,27
2005-02,1,32
2005-03,1,30
2005-04,1,29
2005-05,1,30
2005-06,2,31
2005-07,2,32
2005-08,2,31
2005-09,2,31
2005-10,2,31
2005-11,2,33
2005-12,2,28
2006-01,2,31
2006-02,2,32
2006-03,2,32
2006-04,2,28
2006-05,2,30
2006-06,2,31
2006-07,1,26
2006-08,1,28
2006-09,2,29
2006-10,2,28
2006-11,3,31
2006-12,2,27
2007-01,3,28
2007-02,2,33
2007-03,3,34
2007-04,2,30
2007-05,2,33
2007-06,2,33
2007-07,2,32
2007-08,3,32
2007-09,2,37
2007-10,4,36
2007-11,3,37
2007-12,2,30
2008-01,3,34
2008-02,2,35
2008-03,3,35
2008-04,3,37
2008-05,3,38
2008-06,2,35
2008-07,3,36
2008-08,2,32
2008-09,2,36
2008-10,3,39
2008-11,3,38
2008-12,2,34
2009-01,3,36
2009-02,3,39
2009-03,3,44
2009-04,3,41
2009-05,3,40
2009-06,3,40
2009-07,3,38
2009-08,3,38
2009-09,3,39
2009-10,3,42
2009-11,4,40
2009-12,3,38
2010-01,4,38
2010-02,4,38
2010-03,4,42
2010-04,3,44
2010-05,4,38
2010-06,4,37
2010-07,3,42
2010-08,3,40
2010-09,4,43
2010-10,4,42
2010-11,4,42
2010-12,4,38
2011-01,3,43
2011-02,4,40
2011-03,5,46
2011-04,4,42
2011-05,5,42
2011-06,5,41
2011-07,5,39
2011-08,4,40
2011-09,5,40
2011-10,5,43
2011-11,6,46
2011-12,5,33
2012-01,5,37
2012-02,6,42
2012-03,6,47
2012-04,6,44
2012-05,6,48
2012-06,7,43
2012-07,6,45
2012-08,6,42
2012-09,6,42
2012-10,7,47
2012-11,7,48
2012-12,6,37
2013-01,8,46
2013-02,8,49
2013-03,8,48
2013-04,8,49
2013-05,8,45
2013-06,8,43
2013-07,9,47
2013-08,7,42
2013-09,9,44
2013-10,12,51
2013-11,11,48
2013-12,10,41
2014-01,11,46
2014-02,13,48
2014-03,13,50
2014-04,13,51
2014-05,13,47
2014-06,13,46
2014-07,14,45
2014-08,12,41
2014-09,14,47
2014-10,16,49
2014-11,16,44
2014-12,14,41
2015-01,15,40
2015-02,17,48
2015-03,17,51
2015-04,17,52
2015-05,15,44
2015-06,16,47
2015-07,15,42
2015-08,16,39
2015-09,16,46
2015-10,17,46
2015-11,17,47
2015-12,16,39
2016-01,16,38
2016-02,19,45
2016-03,19,47
2016-04,17,47
2016-05,18,45
2016-06,18,43
2016-07,16,39
2016-08,16,39
2016-09,18,42
2016-10,20,44
2016-11,20,45
2016-12,16,37
2017-01,18,40
2017-02,20,46
2017-03,22,48
2017-04,19,45
2017-05,21,44
2017-06,17,40
2017-07,18,38
2017-08,18,38
2017-09,20,42
2017-10,22,46
2017-11,24,46
2017-12,18,36
2018-01,21,38
2018-02,22,44
2018-03,25,39
2018-04,24,43
2018-05,23,42
2018-06,22,38
2018-07,20,37
2018-08,19,35
2018-09,22,40
2018-10,25,42
2018-11,24,39
2018-12,17,32
2019-01,20,36
2019-02,23,39
2019-03,25,41
2019-04,23,41
2019-05,25,39
2019-06,23,36
2019-07,23,38
2019-08,20,36
2019-09,25,39
2019-10,26,42
2019-11,25,40
2019-12,19,34
2020-01,22,40
2020-02,25,50
2020-03,25,100
2020-04,25,71
2020-05,24,47
2020-06,25,43
2020-07,24,42
2020-08,21,40
2020-09,24,45
2020-10,22,42
2020-11,23,36
2020-12,18,32
2021-01,18,32
2021-02,21,37
2021-03,24,41
2021-04,22,38
2021-05,20,36
2021-06,22,33
2021-07,19,31
2021-08,17,32
2021-09,22,34
2021-10,23,35
2021-11,26,38
2021-12,19,32
2022-01,27,38
2022-02,33,45
2022-03,35,48
2022-04,33,42
2022-05,30,42
2022-06,30,40
2022-07,27,35
2022-08,28,37
2022-09,31,41
2022-10,31,39
2022-11,30,41
